K_warm,features,mae,rmse,r2
0,LAB+WEAR,1.02686934609271,1.6888885880231046,0.6173458685341318
1,LAB+WEAR,1.0879763534443592,1.736347317070102,0.5966704535014253
1,WEAR,1.1032228639934045,1.730908143301297,0.599193385888597
2,LAB+WEAR,1.1564185795036463,1.8495123202767378,0.5593466195937079
2,WEAR,1.1910025033658445,1.8495867230292944,0.5593111654001617
3,LAB+WEAR,1.2253090039217602,1.9533872204937788,0.531146937384237
3,WEAR,1.2627759539677217,1.9450014931123512,0.5351637905208995
