variant,mae,rmse,r2
Ridge baseline (LAB+WEAR),1.02686934609271,1.6888885880231046,0.6173458685341318
LK-PINN (physics only),1.9805649888876713,2.739048239178231,-0.0064767949512754
LK-PINN + Ridge residual,1.9549663277715288,2.7285683996343204,0.0012102088201702
