fold,subject_held_out,n_test,mae,rmse,r2
0,2,9,1.2508698958640008,1.469834123513308,0.44072446362758233
1,3,8,0.4837177385216215,0.5043175243391519,0.9538425439285694
2,4,4,1.0911498406170734,1.1768957617202016,0.4785702453988351
3,5,4,1.6165052319074147,1.9680121703628914,-0.010922590737025173
4,6,8,0.980687890821158,1.5050095482279318,-0.43741207885810507
5,7,6,0.571582911215898,0.7518872952770908,0.8406101616076821
6,8,5,1.5016056655864096,1.7676438908200542,0.14318109592841655
7,9,9,1.0345533332251295,1.1714325106092984,0.8709640678053783
8,10,6,0.3710174903025318,0.5214763049731688,0.8903005849363425
9,11,9,0.914654670921471,1.1200456118927258,0.7320152391937246
10,12,6,2.8647187958931446,3.4565414925026445,-0.4067899047897934
11,13,7,0.7279563225516643,0.8758364221577513,0.7671976518676493
12,14,4,0.747517974708772,0.7725941047537412,0.5227650204275556
13,15,9,1.4327261711151615,2.1025017632060083,0.6632011131573392
14,16,7,0.561847590904254,0.8576786555824921,0.8876630400060593
15,17,5,0.7405696053309981,0.7776768390468147,-0.1686504181413968
16,18,7,1.8797905627497353,4.040654413425653,0.3340808808085194
17,19,10,1.9471094360771453,2.4366696167079054,-2.0072564968351263
18,20,9,0.8879542953420532,1.1608400463454207,0.784211332218711
