features,mean_mae,ci_lo_95,ci_hi_95
P (HR only),1.3716924885965573,1.0940506978629474,1.6944724201972008
WEAR,1.0650488685096646,0.8138153702472275,1.3635831927944986
LAB+WEAR,1.032688183763929,0.7985048735832659,1.3190624164567246
